severe,hour,is_night,rural,day_type,speed_limit,light_conditions,weather_conditions,road_surface_conditions,road_type,urban_or_rural_area,police_force,longitude,latitude,first_road_class,hour_factor,speed_limit_factor,rural_factor
0,15,0,0,Weekday,40,Daylight,Raining no high winds,Dry,Dual carriageway,Urban,Essex,0.69168,51.55925,A,15,40,Urban
0,8,0,1,Weekday,50,Daylight,Fine no high winds,Dry,Dual carriageway,Rural,Essex,0.3545,51.47893,A,8,50,Rural
0,7,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Essex,0.28885,51.4839,Unclassified,7,30,Urban
1,15,0,0,Weekday,30,Daylight,Raining + high winds,Wet or damp,Single carriageway,Urban,Kent,0.50798,51.38255,Unclassified,15,30,Urban
0,18,0,0,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Kent,0.55277,51.37343,A,18,30,Urban
1,16,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Kent,0.58899,51.34933,Unclassified,16,30,Urban
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Kent,0.59743,51.34886,Unclassified,14,30,Urban
0,8,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Roundabout,Urban,Thames Valley,-0.97769,51.45627,A,8,30,Urban
0,17,0,0,Weekday,30,Darkness - lights lit,Fine + high winds,Wet or damp,One way street,Urban,Thames Valley,-0.60428,51.50657,Unclassified,17,30,Urban
0,8,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Thames Valley,-0.73134,51.97357,Unclassified,8,30,Rural
0,10,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.09092,50.79934,Unclassified,10,30,Urban
0,19,0,0,Weekday,30,Darkness - lights lit,Raining no high winds,Wet or damp,Single carriageway,Urban,Hampshire,-1.08006,50.81371,A,19,30,Urban
0,14,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Hampshire,-1.07681,50.79697,Unclassified,14,30,Urban
0,20,0,0,Weekday,30,Darkness - lights lit,Raining no high winds,Wet or damp,Single carriageway,Urban,Hampshire,-1.41237,50.91551,Unclassified,20,30,Urban
0,6,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.40454,50.9069,Unclassified,6,30,Urban
0,11,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.38918,50.9101,A,11,30,Urban
1,23,0,1,Weekday,40,Darkness - no lighting,Raining no high winds,Wet or damp,Single carriageway,Rural,Hampshire,-1.41914,50.65074,B,23,40,Rural
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Durham,-1.82997,54.85216,Unclassified,8,30,Urban
1,9,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Durham,-1.78121,54.83898,A,9,60,Rural
1,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Mercia,-2.75745,52.69879,Unclassified,8,30,Urban
0,17,0,1,Weekday,40,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Rural,West Mercia,-2.72314,52.69074,A,17,40,Rural
1,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Bedfordshire,-0.47479,52.13857,A,14,30,Urban
0,6,0,1,Weekday,60,Daylight,Fine no high winds,Wet or damp,Single carriageway,Rural,Northumbria,-2.15448,54.99346,Unclassified,6,60,Rural
0,9,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Northumbria,-2.04067,54.96684,A,9,60,Rural
0,15,0,1,Weekday,70,Daylight,Other,Dry,Dual carriageway,Rural,Northumbria,-2.11106,54.98448,A,15,70,Rural
1,16,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Northamptonshire,-0.57402,52.31124,B,16,60,Rural
0,11,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Northamptonshire,-0.69799,52.48907,Unclassified,11,30,Urban
1,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Northamptonshire,-0.69532,52.29489,C,8,30,Urban
0,19,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Cumbria,-3.58463,54.54397,Unclassified,19,20,Urban
0,20,0,0,Weekday,20,Daylight,Raining no high winds,Wet or damp,One way street,Urban,Cumbria,-3.58748,54.55073,A,20,20,Urban
0,17,0,1,Weekday,70,Daylight,Raining no high winds,Wet or damp,Dual carriageway,Rural,Cumbria,-2.58319,54.37261,Motorway,17,70,Rural
1,15,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Cumbria,-2.47973,54.57272,B,15,30,Rural
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.41917,53.56664,Unclassified,15,30,Urban
1,18,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.3955,53.58898,Unclassified,18,20,Urban
1,11,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.21696,53.39272,A,11,30,Urban
0,18,0,0,Weekday,70,Daylight,Fine no high winds,Dry,Slip road,Urban,Greater Manchester,-2.17959,53.40843,Motorway,18,70,Urban
0,20,0,1,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Rural,Greater Manchester,-2.68097,53.58868,A,20,30,Rural
