term,estimate,std_error_robust,t_value,p_value
police_forceDurham,0.21101696587183155,0.021319368527839506,9.897899442766278,4.355526156507206e-23
police_forceDyfed-Powys,0.19964849515409944,0.01720448547920516,11.604444398840755,4.094700870056238e-31
police_forceEssex,0.08831839466789128,0.01111511897032923,7.945789415628296,1.94934508165328e-15
police_forceGloucestershire,0.07568906024716286,0.01557476463412001,4.859724177234051,1.177256471052619e-6
police_forceGreater Manchester,0.1846496959757143,0.011641654556297704,15.861121379505772,1.3792047849259086e-56
police_forceGwent,0.1417897057553903,0.02083219801354098,6.806276786694646,1.0071410538018165e-11
police_forceHampshire,0.0956077607930059,0.01063217216032646,8.992307437398594,2.461466833584803e-19
police_forceHertfordshire,0.0328392414251874,0.01215867024496829,2.7008908674678054,0.0069165576996921595
police_forceHumberside,0.09661087327501931,0.01253057748344127,7.710009646617427,1.2695215783875297e-14
police_forceKent,0.11228787974062539,0.010761899946190144,10.433834202331234,1.7900710704479325e-25
police_forceLancashire,0.15920664540553414,0.011628215670434313,13.691408030066903,1.2477933278455345e-42
police_forceLeicestershire,0.128765080655485,0.01505798140262833,8.551284346320775,1.2339478990198687e-17
police_forceLincolnshire,0.001889268213042047,0.012364799561392725,0.15279408320867652,0.8785609696395211
police_forceMerseyside,0.07119029073086341,0.012131702841084875,5.868120218851094,4.421358518280251e-9
police_forceMetropolitan Police,0.01764304758137923,0.008124706986603055,2.1715303223206823,0.02989343144664778
police_forceNorfolk,0.1217693422887315,0.01361750775299865,8.942116611750576,3.880375639968056e-19
police_forceNorth Wales,0.21159336129561152,0.02252546872771887,9.393516461445877,5.918616397436728e-21
police_forceNorth Yorkshire,0.02642330790081793,0.013564657808934876,1.947952412291095,0.05142342893659163
police_forceNorthamptonshire,0.023239947626571875,0.013513352347718501,1.7197766348847956,0.08547612045125776
police_forceNorthumbria,0.07549795881245128,0.01235338561085336,6.111519642527855,9.904689886976836e-10
police_forceNottinghamshire,0.08751881751110172,0.012044578463811057,7.2662416351107115,3.722868637561857e-13
